"","cluster"
"algebr relacional",2
"algoritm",3
"algoritm enrut",1
"arquitectur sgbd",2
"arregl",3
"bas dat movil",2
"bas dat relacional",2
"bas dat semant",2
"calcul relacional",2
"cap red",1
"cap transport",1
"cas uso",2
"clas",3
"conexiA3n",2
"datagram",1
"demultiplex",1
"diagram clas",2
"direccion ipv",1
"do whil",2
"enrut dinam",2
"enrut intern",1
"expresion regular",2
"for",3
"herenci",2
"internet",1
"metod",3
"model entid relacion",2
"model relacional",2
"multiplex",1
"normaliz",2
"oracl",2
"program",3
"program orient objet",3
"protocol transaccion dat",1
"red",3
"replic bas dat",2
"segur",2
"sgbd",2
"sql",3
"tcp",1
"udp",1
"uml",2
"vlans",2
