"","cluster"
"ajust pes",3
"algebr relacional",3
"algoritm enrut",2
"analisis clust",3
"arbol clasif",3
"bas dat movil",1
"bas dat relacional",1
"bas dat semant",3
"calcul relacional",3
"cap red",2
"cap transport",2
"conexiA3n",3
"datagram",2
"direccion ipv",2
"enrut dinam",3
"enrut intern",2
"entorn bas dat",3
"internet",2
"model entid relacion",3
"model ocult markov",3
"model relacional",1
"normaliz",1
"oracl",3
"protocol transaccion dat",2
"regl neuronal",3
"replic bas dat",1
"segur",1
"sgbd",1
"tcp",2
"udp",2
"vlans",3
